n_cap,stime,etime,content
20,"00:00:22,233","00:00:22,366",什么东西
20,"00:00:22,233","00:00:22,399",什么东西
20,"00:00:22,233","00:00:22,433",什么东西
20,"00:00:22,233","00:00:22,466",什么东西
20,"00:00:22,233","00:00:22,500",什么东西
20,"00:00:22,233","00:00:22,533",什么东西
20,"00:00:22,233","00:00:22,566",什么东西
20,"00:00:22,233","00:00:22,600",什么东西
20,"00:00:22,233","00:00:22,633",什么东西
20,"00:00:22,233","00:00:22,666",什么东西
20,"00:00:22,233","00:00:22,699",什么东西
20,"00:00:22,233","00:00:22,733",什么东西
20,"00:00:22,233","00:00:22,766",什么东西
20,"00:00:22,233","00:00:22,800",什么东西
20,"00:00:22,233","00:00:22,833",什么东西
20,"00:00:22,233","00:00:22,866",什么东西
20,"00:00:22,233","00:00:22,899",什么东西
20,"00:00:22,233","00:00:22,933",什么东西
20,"00:00:22,233","00:00:22,966",什么东西
20,"00:00:22,233","00:00:23,000",什么东西
20,"00:00:22,233","00:00:23,033",什么东西
20,"00:00:22,233","00:00:23,066",什么东西
21,"00:00:23,633","00:00:23,066",懒蛤想吃天鹅肉
21,"00:00:23,633","00:00:23,666",懒蛤蟆想吃天鹅肉
21,"00:00:23,633","00:00:23,699",懒蛤蟆想吃天鹅肉
21,"00:00:23,633","00:00:23,733",懒蛤蟆想吃天鹅肉
21,"00:00:23,633","00:00:23,766",懒蛤蟆想吃天鹅肉
21,"00:00:23,633","00:00:23,800",懒蛤蟆想吃天鹅肉
21,"00:00:23,633","00:00:23,833",懒蛤蟆想吃天鹅肉
21,"00:00:23,633","00:00:23,866",懒蛤蟆想吃天鹅肉
21,"00:00:23,633","00:00:23,899",懒蛤想吃天鹅肉
21,"00:00:23,633","00:00:23,933",懒蛤想吃天鹅肉
21,"00:00:23,633","00:00:23,966",懒蛤想吃天鹅肉
21,"00:00:23,633","00:00:24,000",懒蛤蟆想吃天鹅肉
22,"00:00:24,033","00:00:24,000",蛤蟆想吃天鹅肉
22,"00:00:24,033","00:00:24,066",懒蛤蟆想吃天鹅肉
22,"00:00:24,033","00:00:24,100",蛤蟆想吃天肉
22,"00:00:24,033","00:00:24,133",蛤蟆想吃天肉
23,"00:00:24,166","00:00:24,133",懒蛤想吃天鹅肉
23,"00:00:24,166","00:00:24,199",懒蛤想吃天鹅肉
23,"00:00:24,166","00:00:24,233",懒蛤蟆想吃天鹅肉
23,"00:00:24,166","00:00:24,266",懒蛤蟆想吃天鹅肉
24,"00:00:24,300","00:00:24,266",懒蛤蟆想吃天肉
24,"00:00:24,300","00:00:24,333",懒蛤蟆想吃天肉
24,"00:00:24,300","00:00:24,366",懒蛤蟆想吃天鹅肉
24,"00:00:24,300","00:00:24,399",懒蛤蟆想吃天肉
24,"00:00:24,300","00:00:24,433",懒蛤蟆想吃天肉
25,"00:00:24,466","00:00:24,433",懒蛤想吃天鹅肉
25,"00:00:24,466","00:00:24,500",懒蛤蟆想吃天鹅肉
25,"00:00:24,466","00:00:24,533",懒蛤蟆想吃天鹅肉
25,"00:00:24,466","00:00:24,566",懒蛤蟆想吃天鹅肉
25,"00:00:24,466","00:00:24,600",懒蛤蟆想吃天鹅肉
25,"00:00:24,466","00:00:24,633",懒蛤蟆想吃天鹅肉
25,"00:00:24,466","00:00:24,666",懒蛤蟆想吃天鹅肉
25,"00:00:24,466","00:00:24,699",懒蛤蟆想吃天鹅肉
25,"00:00:24,466","00:00:24,733",懒蛤蟆想吃天鹅肉
25,"00:00:24,466","00:00:24,766",懒蛤蟆想吃天鹅肉
25,"00:00:24,466","00:00:24,800",懒蛤蟆想吃天鹅肉
25,"00:00:24,466","00:00:24,833",懒蛤蟆想吃天鹅肉
26,"00:00:24,866","00:00:24,833",懒蛤蟆想吃天肉
27,"00:00:24,899","00:00:24,833",懒蛤想吃天鹅肉
27,"00:00:24,899","00:00:24,933",懒蛤想吃天鹅肉
